,Var1,Var2,bray,TreatmentGroup
2,AZ-11_S136,AZ-10_S135,0.647745702752198,Plaque
3,AZ-12_S137,AZ-10_S135,0.6939639854317,Plaque
4,AZ-13_S138,AZ-10_S135,0.738435744869578,Plaque
5,AZ-14_S139,AZ-10_S135,0.66483137507825,Plaque
6,Az-15_S140,AZ-10_S135,0.75538614698806,Plaque
7,AZ-16_S141,AZ-10_S135,0.682266204438491,Plaque
8,AZ-17_S142,AZ-10_S135,0.667245784840427,Plaque
9,AZ-18_S143,AZ-10_S135,0.589227541060271,Plaque
10,AZ-19_S144,AZ-10_S135,0.73573256203839,Plaque
11,AZ-2_S145,AZ-10_S135,0.642446211572392,Plaque
12,AZ-20_S146,AZ-10_S135,0.621103001067292,Plaque
13,AZ-21_S147,AZ-10_S135,0.71400713926249,Plaque
14,AZ-22_S148,AZ-10_S135,0.624884892718275,Plaque
15,AZ-23_S149,AZ-10_S135,0.683345274958081,Plaque
16,AZ-24_S150,AZ-10_S135,0.719057787293024,Plaque
17,AZ-25_S151,AZ-10_S135,0.661882420422873,Plaque
18,AZ-3_S152,AZ-10_S135,0.629010052980815,Plaque
19,AZ-4_S153,AZ-10_S135,0.660479533542925,Plaque
20,AZ-5_S154,AZ-10_S135,0.684866314474521,Plaque
21,AZ-6_S155,AZ-10_S135,0.64406685739482,Plaque
22,AZ-7_S156,AZ-10_S135,0.625661210862404,Plaque
23,AZ-9_S157,AZ-10_S135,0.709151238792256,Plaque
24,ML-8_S158,AZ-10_S135,0.756340958194797,Plaque
27,AZ-12_S137,AZ-11_S136,0.643100348040578,Plaque
28,AZ-13_S138,AZ-11_S136,0.693775053972905,Plaque
29,AZ-14_S139,AZ-11_S136,0.571583793610622,Plaque
30,Az-15_S140,AZ-11_S136,0.648243598881814,Plaque
31,AZ-16_S141,AZ-11_S136,0.653775820113862,Plaque
32,AZ-17_S142,AZ-11_S136,0.604510679309563,Plaque
33,AZ-18_S143,AZ-11_S136,0.684470438969895,Plaque
34,AZ-19_S144,AZ-11_S136,0.661774741783657,Plaque
35,AZ-2_S145,AZ-11_S136,0.68931780638939,Plaque
36,AZ-20_S146,AZ-11_S136,0.608703919273553,Plaque
37,AZ-21_S147,AZ-11_S136,0.616735297074503,Plaque
38,AZ-22_S148,AZ-11_S136,0.591590606270046,Plaque
39,AZ-23_S149,AZ-11_S136,0.660593761948655,Plaque
40,AZ-24_S150,AZ-11_S136,0.677503834024416,Plaque
41,AZ-25_S151,AZ-11_S136,0.637878657890361,Plaque
