,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Family
3,0.0467188765865514,0.00996547494087742,0.0270645245611566,0.0851146111657995,0.0229023931059915,0.0103312235688133,0.0362949581212022,0.0286279586702167,0.029686340377329,0.0271775386489544,0.0172703534217534,0.0130828658144026,0.0160517023551135,0.0170142700329308,0.0464830551858298,0.00913173931679681,0.00825459530372489,0.0259621905730756,0.00305537046366872,0.00957561821083521,0.0168478570208891,0.0267403511899456,0.0824658278265592,0.0258977900552486,0.000156854543553278,0.000478064207700511,0,0,0,0.000302446032286114,0,0.00185729763194552,0.000647165415480197,0,0,0,8.52805730854511e-05,0.00167622112709109,0,0.000174802254949089,0.000367197062423501,0,0.0984223803607064,0.026529307631786,0.0286556308001003,0.03917970858068,0.024399049309546,0.0177464113193326,0.0176101414431573,0.0476855895196507,0.0554533012412101,0.0201342281879195,0.0390448862471818,0.0318743077491078,0.012713823393435,0.0227844482561464,0.0178401773461417,0.0206993334112969,0.0164761649910165,0.0208068175529854,0.00881518003884656,0.0155011241273222,0.0170233680353872,0.0425416241930003,0.0633224340059016,0.0248837501570944,Actinomycetaceae
8,4.9100238136155e-05,5.05861672125757e-05,0,0,0,0,7.03845341716913e-05,0,0,0,0,0,0,0,0,5.59086080620213e-05,0,0,0,0.000137284848900863,0,0,0.000211218732084125,0,0.335485726236537,0.165005699996323,0.226087259305686,0.330632294903015,0.0775109170305677,0.157763411591244,0.0721898692451379,0.0530103699117784,0.00828371731814652,0.143809648320042,0.0235204855842185,0.0647155413889694,0.14455057137984,0.0249421703711154,0.0829047446577327,0.1438622558231,0.270960832313342,0.116488904615074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407747196738022,0,0,Bacteroidaceae
10,0,0,0.00313675024631532,0,0,0,0,0,0.000312487793445569,0,0,0.00112664398050216,0,0,0,0,0,0,4.87559116542881e-05,0,0,0,0,0,0.168069643417338,0.0792483359688155,0.0266025975834813,0.0424888739608699,0.0352529112081514,0.0509243506861744,0.0220122330879391,0.295039467574679,0.407239623781172,0.0348280821022356,0.00827700372465168,0.0493093789239834,0.209022684632441,0.215461463676288,0.0515392973560304,0.0169995192937989,0.0807527539779682,0.085300510539352,0,0,0,0,0,0.000308335331803077,0,0,0,0,0,0,0,0,0.000316689538688905,0,0,0,0,0,0,0.000339789330615019,0.000478507057979105,0,Bifidobacteriaceae
11,0.000540102619497705,0.000379396254094318,0.00164880461665293,0.000175783996624947,0.00725889408613629,0.0050946555785769,0.00492691739201839,0.000109919636532402,0.000839810944884965,0.00237839719233112,0.0152537552677163,0.000850731168950612,0.00615504227542194,0.00160432322891159,0.0129688406539026,0.00391360256434149,0.00316917498268009,0.00152594099694812,0.000455055175440022,0.00715597274895749,0,0.0013593011854889,0.0205183911167436,0.00189917127071823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368989796302572,0.00349134539732494,0.0154251316779533,0.000431732325957906,0.00691958241824363,0.0427900921580047,0.0204827177069348,0.0210480349344978,0.0118929633300297,0.000486334014200953,0.155564664890346,0.00455347253558682,0.00485436893203883,0.00631789594053745,0.0354164467433759,0.0346158344053327,0.0116976948660117,0.0149410657960268,0.122964291050351,0.0285173352266004,0.000625530583977481,0.0125722052327557,0.0110056623335194,0.0386452180470026,Burkholderiaceae
15,0.0104829008420691,0.0201585876342114,0.00766090925542396,0.013218956546196,0.0219901791432952,0.0313626429767547,0.0182295943504681,0.00945308874178656,0.00970665208390297,0.0134002378397192,0.0142713100131854,0.0139565897176492,0.0436360102368072,0.054779194460863,0.0132759974062319,0.0690657671592836,0.0307336271576185,0.0166793828416412,0.0487071557426338,0.0299624182726134,0.0561215777790426,0.040667617434709,0.0126731239250475,0.0153228591160221,0,0,0.000383021692955883,0.000167940213284071,0.000500363901018923,0,0,0,0.000819742859608249,0,0.000103462546558146,0.000169033130493577,5.68537153903008e-05,0.000435817493043682,0.000434625135820355,0,0,0,0,0,0,0.00361575822989746,0.00135383134269984,0,0,0.00375545851528384,0,0,0,0,0,0,0.000897287026285232,0,0,0,0,0,0,0,0,0,Carnobacteriaceae
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967160666347957,0.00915770047703611,0,0.0231532023289665,0.037049638955049,0.0232208914771271,0,0.0827077400983691,0.04356124983658,0.00848392881776797,0.00690621076016614,0,0.0412015153038989,0.0248098515030786,0.016453262247083,0.0109547123623011,0.0198402668958196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coriobacteriaceae
21,0.056072471951489,0.0186157095342279,0.0163472945529126,0.0870130783293489,0.0291714379985637,0.0451139556665626,0.110456795626774,0.00861037152837148,0.0214444748252021,0.0324274153783682,0.0187698751260374,0.0114733744136853,0.0100262399170689,0.0231360297221988,0.122043616258831,0.00786447753405766,0.00546866938871774,0.0251568328246863,0.00505436284149453,0.0131450242822576,0.0101504543988465,0.0240440324449594,0.0610422135723122,0.0279264502762431,0,0,0,0,0,0,0.000146504047174303,0,0,0.000104588835141849,0,9.65903602820439e-05,0,0,0,6.55508456059083e-05,0,0,0.0432245189954441,0.0208988985051141,0.00191246551291698,0.0025364274150027,0.00905562742561449,0.0388502518071876,0.0217004402535361,0.0160262008733624,0.024305063948275,0.016340822877152,0.126152900184464,0.0227263404028387,0.00656495607951919,0.016609491137793,0.0197403145782751,0.00666588703075664,0.00271417103100271,0.0127275745669858,0.00373524577917227,0.00047331676724648,0.00701487869174746,0.00924226979272851,0.0552675651965866,0.0199195676762599,Corynebacteriaceae
32,0.0103356001276606,0.0388501764192582,0.0290350471517906,0.0302700042188159,0.043145779554762,0.0533164930604831,0.0655045398024541,0.0457021422115831,0.045232608101246,0.101836006613104,0.0134439876935805,0.0207164536006622,0.0451423758463183,0.0299121844127333,0.0477116821951469,0.0233697981699249,0.0174525729278755,0.0276788741946423,0.0359006029481075,0.0314039091860724,0.0217238696947275,0.0242891523308673,0.0436317552276636,0.0258762085635359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128769908505591,0.0194728560188828,0.00783797341359418,0.021856449001619,0.0109810764463432,0.043338243858988,0.0173603522028289,0.0404366812227074,0.0035867667185804,0.00700320980449373,0.0275671244107399,0.0129220166550437,0.0136846971798428,0.0219839908519154,0.0287659664309089,0.00456087007367559,0.00863947398600864,0.0108461070223009,0.00672344240251008,0.0065081055496391,0.00960636253965417,0.0090383961943595,0.0239253528989553,0.0158979514892547,Flavobacteriaceae
33,0.0487074362310657,0.0579591010838086,0.0284720406973237,0.060153283645057,0.0522291015662908,0.112337865069679,0.0595687774206414,0.092173721878893,0.00257802429592594,0.116077384923282,0.048760309211717,0.0590683344063276,0.045207165765007,0.0359495060373216,0.0530357325688543,0.0940010063549451,0.0136200822511461,0.0431502204136996,0.0450179584274593,0.0836922760111887,0.0819435748572296,0.0522773865763437,0.0489122235297668,0.157566470994475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274859746225385,0.00582710464201416,0.000846501128668172,0.00966001079330815,0.00150425704744427,0.00191853095344136,0.00224810316295626,0.0104366812227074,0.000283165793572136,0.0227604318646046,0.00307440049190408,0.011650326127087,0,0.000514579759862779,0.00174179246278898,0.0098234124663782,0.000114683283000115,0.00431630789662996,0.00224114746750336,0,0.00285956838389706,0.0131158681617397,0.0211340617274105,0.00408445393992711,Fusobacteriaceae
34,0.0147055213217784,0.0314393029226158,0.00987272032654374,0.0170510476726199,0.0242027832230266,0.018462804756904,0.0182295943504681,0.0317667749578641,0.00148431701886645,0.0102677147083563,0.0097210372553582,0.00556424169962292,0.0311315559298973,0.0359072870049818,0.0261083239479881,0.0457705138001081,0.0319865568019339,0.0463928450322143,0.00674456777884318,0.0373071576888096,0.0273018764111029,0.0524779392102683,0.0190398599921547,0.045990158839779,0,0.000220645018938697,0,0.000125955159963053,0.000227438136826783,0.000189028770178821,0,0.000657792911314038,0,0,0,0.000193180720564088,0,0,0.000362187613183629,0,0,0.000126371126724966,0.01893896607553,0.0353314319433517,0.0224166039628794,0.0901780895844576,0.0909172959475315,0.0502586590839015,0.0509882286820495,0.0567685589519651,0.00877813960073623,0.0455208637292092,0.00194712031153925,0.0221110062764081,0.0598705501618123,0.0442252715837622,0.0738942256940779,0.075429774295404,0.052027982721052,0.0867688561784074,0.0159868519348573,0.0223642172523962,0.0538849917340601,0.0161060142711519,0.0267166440705,0.046562774915169,Gemellaceae
