,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Genus
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00481992234569554,0.0385274951411913,0.0448662948662949,0.0153147802477516,0.0313164955129984,0.0017921146953405,0.000958932666249739,0.0184761978541271,0.0459066232356135,0.0537760307769507,0.0153688161762102,0.0141717668305408,0.0262207201957814,0.0143938120060535,0.0352814335638337,0.0254014928749152,0.0148521043086736,0.00616142945163278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
18,0.0473418414309526,0.0101366127247935,0.0275619410643601,0.0667414672988526,0.0206563744433764,0.0085436033643205,0.0296287396371501,0.0268063769606583,0.0299247942670394,0.0211114179631164,0.0155618850336613,0.0131585243313077,0.013635840904237,0.0173803471724348,0.0481170069949834,0.00890230245050586,0.00825914565721553,0.0200151630022745,0.00315478587729897,0.00976514647719716,0.0167749234400296,0.0148655724269811,0.070076447033127,0.0204126913689816,0.000160664078189851,0.000495407949392173,0,0,0,0.000311672120928783,0,0.00185924003563543,0.000651465798045603,0,0,0,8.74024006526046e-05,0.00168152009416513,0,0.000180954535173038,0.000375211056219123,0,0.10161716684808,0.027027027027027,0.028917849964339,0.0386278466416835,0.0236448944314113,0.0154075366110687,0.0167401170821548,0.048802288165892,0.0575867476965301,0.0236031927023945,0.0373242349048801,0.0315741050518568,0.012900073295871,0.0252223171619355,0.0184477677109486,0.0218653489808524,0.0168655840344355,0.0182216584015684,0.00933839822728712,0.0165948821890043,0.0180612598347271,0.0387064817435607,0.0607075741482147,0.0246651637713831,Actinomyces
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03423278292388e-05,0,0,0,0.000151680621283825,0.000199689372087863,0.0550542241263891,0.0176441446591212,0.0115830115830116,0,0.152049218244056,0.100358422939068,0.000833854492391078,0.0555835302320177,0.00225841476655809,0.00370773047865964,0,0.0151750777565968,0.0417200792448433,0.0746258617790483,0.0277344040449104,0.0210585840307623,0.0456819460946783,0.00326042308482235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agathobacter
24,0,0.0165041549821194,0.00213625986973004,0.0163958159904448,0.017792337720933,0.0314741035856574,0.000817013096239337,0.01047827204937,0.00127967870220892,0.00586087330080702,7.76799585706888e-05,0.0421790516292646,0.086119371108446,0.0455799604597102,0.000247297392778916,0.0135527589545015,0.00053863993416623,0.043301202209466,0.0346690830984025,0.0707010605159077,0.0644469151696023,0.022605686707492,0.00239655381628443,0.0146660749944531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116233867205722,0.00833758286588475,0.00149127925825066,0.010319976938599,0.0209902457093468,0.0636287655801446,0.00029599421166875,0.00116195924204505,0.00490099980396001,0.00205245153933865,0,0.00526932084309133,0.00464207182995358,0.0566473622582993,0,0.0186534898085238,0.00152612013304637,0.00784223272978895,0.0148781259892371,0.0463643273372181,0.109258251274185,0.0302858760260402,0.0107851948688618,0.00921628431242541,Alloprevotella
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723256125317981,0.0323920582294882,0.0208780208780209,0.0697013405735619,0.0678138588213526,0.0161679912731806,0.00233479257869502,0.0741371964209629,0.180803474484256,0.0229154470184829,0.00980912921845674,0.0477576000802649,0.0609194732548654,0.107819068437868,0.0148709941259573,0.0254919701425017,0.0881120630354574,0.013529472170877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes
30,4.97549568375749e-05,5.1454886927886e-05,0,0,0,0,7.20893908446474e-05,0,0,0,0,0,0,0,0,5.69443653550481e-05,0,0,0,0.0001400021000315,0,0,0.000212352869797355,0,0.343633685901727,0.170991959147898,0.232124982124982,0.334082810113694,0.0788232028864835,0.162575970079476,0.0821763602251407,0.053065809350428,0.00833876221498371,0.153327200245324,0.0241509968483303,0.067221832045751,0.148147069106165,0.0250210190011771,0.0850992638857908,0.14892558244741,0.276874491901695,0.118325118094064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424568355505236,0,0,Bacteroides
32,0.00268676766922905,0.00683063623967686,0.00305778373510378,0.00495855803684534,0.0111618965415776,0.0104028331119965,0.00579118106452,0.0111853947030085,0.00734338701421428,0.00957378256466906,0.00401346452615225,0.00490454088712379,0.0126994036373195,0.00427991049121206,0.0102098495018724,0.00734582313080121,0.0065384903119623,0.00426730206866674,0.00265136259900658,0.00728010920163802,0.00758772699787388,0.00503107428233205,0.00473243538405533,0.010650099844686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345980407401648,0.0374043855175931,0.00197756597289762,0.00876333237244163,0.0036732929991357,0.00723136741887423,0.00486746036966388,0.0224794422595638,0.0452362281905509,0.00661345496009122,0.00155086848635236,0.00271830043492807,0.0990471536770095,0.00382923510237666,0.0135902194083615,0.00222359481161211,0.00770886323615731,0.0243339868527275,0.00126622348844571,0.00101342791993919,0.0029689742194072,0.00134446645909992,0.0200179753247814,0.0151836626442116,Bergeyella
33,0,0,0.00236664083607347,0,0,0,0,0,0.000314997834389889,0,0,0,0,0,0,0,0,0,5.03423278292388e-05,0,0,0,0,0,0.172151559780426,0.0821233946877025,0.0273130273130273,0.0429322925504836,0.0358497548339347,0.0524777933613838,0.0250573274963519,0.29534802649417,0.409945711183496,0.0371330601321402,0.00849888452140657,0.051219022775158,0.214223283999534,0.216142592903985,0.0529035616030932,0.0175978285455779,0.0825151647801889,0.086645101663586,0,0,0,0,0,0.000327046767687779,0,0,0,0,0,0,0,0,0.000327475166466543,0,0,0,0,0,0,0.00035380696292103,0.000490236130402811,0,Bifidobacterium
35,0,0,0,0,0,0,0,0.000115710979686295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024268899405412,0,0.0965055562993707,0.121146297778286,0.0897325897325897,0.120397081282878,0.11388657600148,0.113565529063425,0.0196372732958099,0.296432583181625,0.0841693811074919,0.072983747316774,0.0716385141116895,0.0986756295776061,0.142058035194033,0.0689423238607701,0.0748754554241951,0.0906582221216919,0.122256269151398,0.0533477100020538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blautia
40,0.00858273005448168,0.012619311019064,0.00456573187844263,0.00803503565094647,0.00537497302705142,0.0126162018592297,0.00814610116544515,0.00930830547698637,0.00834744261133205,0.0148516370554482,0.00111341273951321,0.0102875735681133,0.00637434490463126,0.0103195811336331,0.0111283826750512,0.00459351213864055,0.000763073240068826,0.00706162677352973,0.00466505571217613,0.0060550908263624,0.00844597889480563,0.00541807999635759,0.00682562795777211,0.00805413800754382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120898771575183,0.00979092299847017,0.00100499254360371,0.0024214471029115,0.000277812075564885,0.0132272248264835,0.00394658948891666,0.0109492313192706,9.80199960792002e-05,0.00558722919042189,0.00599669148056245,0.00669120107059217,0.00361592963596384,0.0125003955821387,0.00780482480078594,0.00222359481161211,0.00176090784582274,0.00703494406642832,0.00158277936055714,0.0135545984291867,0.00346380325597506,0.0115341069912256,0.0133997875643435,0.00609998673915926,Campylobacter
