,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Species
31,0.0198223225395723,0.00397493867659662,0.0231464232488823,0.00906859686343026,0.00828068592057762,0.00281613680317579,0.0081951946358726,0.00679900530408659,0.0260486840923381,0.00727974537820817,0.00636164124788177,0.00568761066695284,0.00586330131784677,0.00514771142386205,0.00580847723704867,0.00487399733350819,0.00538732092305053,0.0059814574818064,0.00171468447811783,0.00346941591594551,0.00461029327855757,0.00445789317266906,0.0165208602000627,0.00903202955016951,0.000160664078189851,0.000495407949392173,0,0,0,0.000311672120928783,0,0.00131696169190843,0.000651465798045603,0,0,0,8.74024006526046e-05,0.00168152009416513,0,0.000180954535173038,0.000375211056219123,0,0.0661638936401804,0.0132075471698113,0.0118653958373857,0.0269818391467282,0.0109272749722188,0.00970238744140412,0.00680786686838124,0.0209599570968895,0.0322485787100569,0.00410490307867731,0.00940860215053763,0.0183589829374373,0.00420229660395798,0.00683565935630874,0.00742277043990831,0.0214947498455837,0.0100958716493837,0.0122823203782724,0,0.0143146693691411,0.0106388242862091,0.0310642513444665,0.00563771549963232,0.00755867922026256,Actinomyces NA
32,0.0221084006134792,0.0014628956467772,0.00169988822652757,0.0466325554307584,0.00421931407942238,0.00105181013130662,0.001809328685842,0.00777645215541405,0.000898230485942693,0.00257330534299451,0.00652832180459483,0.00150238772334603,0.00277343459161641,0.00316977304425003,0.0108712715855573,0.000677551198828492,0.000600497555117097,0.00169474628651181,0.000378825640514405,0.00128131837804806,0.000707520255620221,0.00213438521600519,0.017601338398801,0.00432626625512321,0,0,0,0,0,0,0,0.000542278343727002,0,0,0,0,0,0,0,0,0,0,0.0139947131083813,0.00458949515553289,0.00350126434545808,0.00443931968867109,0.00861217434251142,0,0.00147997105834375,0.0214068644976761,0.0028915898843364,0.00900798175598632,0.0270885028949545,0.00740214118434259,0.00454434400195456,0.0108231273141555,0.0017465342211549,0.000370599135268684,0.00266092741146547,0.0026525198938992,0.00443178220955999,0,0.00272155970112326,0.000990659496178885,0.0456736661491952,0.00755867922026256,Actinomyces naeslundii
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9814574818064e-05,0,0,0,0.000174270677215852,0.000227698223953853,0.0550542241263891,0.0176441446591212,0.0115830115830116,0,0.152049218244056,0.100358422939068,0.000833854492391078,0.0555835302320177,0.00225841476655809,0.00370773047865964,0,0.0151750777565968,0.0417200792448433,0.0746258617790483,0.0277344040449104,0.0210585840307623,0.0456819460946783,0.00326042308482235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agathobacter NA
52,0,0.0116736117268079,0.00237518628912072,0.00723823786347186,0.0139666064981949,0.0310962575916941,0.000505547721044089,0.00554844830312352,0.000785951675199856,0.0039615358569784,8.33402783565297e-05,0.0397864463164672,0.0899784081602263,0.0462786864460505,0.000274725274725275,0.0132013201320132,0.000617654628120443,0.0407486790948061,0.038301266075167,0.0697234323562459,0.0622846057286317,0.0225866587415232,0.00275347670001046,0.0132064969893235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062198724926139,0.00568587455379908,0.00149127925825066,0.010319976938599,0.0209902457093468,0.0636287655801446,0.00029599421166875,0.00116195924204505,0.00490099980396001,0.00205245153933865,0,0.00526932084309133,0.00464207182995358,0.0566473622582993,0,0.0186534898085238,0.00152612013304637,0.00784223272978895,0.0129787907565685,0.0369901190777806,0.109258251274185,0.0141522785168412,0.00996813465152382,0.00921628431242541,Alloprevotella NA
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712009639844691,0.0323920582294882,0.0208780208780209,0.0691922620057696,0.0481080580997317,0.0161679912731806,0.00233479257869502,0.0630204903745594,0.180412595005429,0.0229154470184829,0.00980912921845674,0.0457760610013043,0.0315522666355903,0.0921473011602489,0.0139787344783999,0.0219859760235241,0.0881120630354574,0.00967857876360649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anaerostipes hadrus
84,0,5.91068948192807e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870263756861695,0.0949658930680995,0,0.0846343118954692,0.0605051346100472,0.121474209131993,0.0096727121117365,0.0338536623155285,0.00612377850162866,0,0.000672828357944686,0.0541787900070232,0,0,0.0485537958212506,0.0461660257860213,0.205052842223751,0.0537327993427809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroides vulgatus
87,0.0017362618282837,0.00560037828412684,0.00249161698956781,0.004575897499896,0.00834837545126354,0.0103993485563058,0.00388473511960195,0.00894076384596588,0.00487290038623911,0.00700887113157717,0.00263910881462344,0.00321940226431293,0.0104981014071923,0.00309369849118803,0.0064756671899529,0.00677551198828492,0.00614223213519774,0.00341441531253115,0.0023327684179045,0.00508584833132922,0.0051808741298642,0.00380947234755356,0.00421735038862361,0.00855133329960026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345980407401648,0.0374043855175931,0.00197756597289762,0.00876333237244163,0.0036732929991357,0.00723136741887423,0.00486746036966388,0.0224794422595638,0.0452362281905509,0.00661345496009122,0.00155086848635236,0.00271830043492807,0.0990471536770095,0.00382923510237666,0.0135902194083615,0.00222359481161211,0.00770886323615731,0.0243339868527275,0.00126622348844571,0.00101342791993919,0.0029689742194072,0.00134446645909992,0.0200179753247814,0.0151836626442116,Bergeyella NA
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11937341009506,0.0357455889638352,0.0146575146575147,0,0.0175779443056712,0.00790868006856787,0.0031686470710861,0.189061471123678,0.135765472312704,0.0252571715313206,0.0076844080881051,0.0176081067522825,0.0225206852348211,0.0826298974272743,0.0128634099189531,0.00117620447862475,0.0685698205240448,0.0486496200451838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bifidobacterium catenulatum
95,0,0,0.000116430700447094,0,0,0,0,0,0.000359292194377077,0,0,0,0,0,0,0,0,0,5.9814574818064e-05,0,0,0,0,0,0.0522693801044316,0.0443199573186997,0.0101172601172601,0.0429322925504836,0.0182718105282635,0.0110254012778557,0.0194288096727121,0.0282759422086222,0.112790445168295,0.00114298458364696,0,0.00336109160228755,0.053723342267801,0.0655120228686733,0.00895977396088929,0.00857272110382266,0.0139453442561441,0.0178681454097351,0,0,0,0,0,0.000327046767687779,0,0,0,0,0,0,0,0,0.000327475166466543,0,0,0,0,0,0,0.00035380696292103,0.000490236130402811,0,Bifidobacterium longum
99,0,0,0,0,0,0,0,0.00012936796561687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000278833083545363,0,0.0965055562993707,0.0995388895240273,0.0767195767195767,0.11649414559647,0.0870570820612453,0.103202431042543,0.0196372732958099,0.296432583181625,0.0841693811074919,0.0702238577123582,0.0628209214207302,0.0904233972107956,0.12985083323622,0.0613754834370271,0.0722730314521526,0.0888034381361683,0.119598524169846,0.0450554528650647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blautia NA
