,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Family
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616316724119921,0,0,0,0.0445738563527817,0,0.00250237293985676,0.0215453000392208,0.00917367912815561,0.00492610837438424,0.01418500198988,0.000469341915585504,0.00641072075335024,0.00461040947428222,0.00431456548347613,0.0103877066167922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] coprostanoligenes group
2,0,0,0,0,0,0,0,6.10664647402233e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175497522881854,0,0,0.0298868256235578,0,0.00604021054448184,0,0,0,0,0,0.0223469757334299,0,0.015422276621787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acidaminococcaceae
3,0.0467188765865514,0.00996547494087742,0.0270645245611566,0.0851146111657995,0.0229023931059915,0.0103312235688133,0.0362949581212022,0.0286279586702167,0.029686340377329,0.0271775386489544,0.0172703534217534,0.0130828658144026,0.0160517023551135,0.0170142700329308,0.0464830551858298,0.00913173931679681,0.00825459530372489,0.0259621905730756,0.00305537046366872,0.00957561821083521,0.0168478570208891,0.0267403511899456,0.0824658278265592,0.0258977900552486,0.000156854543553278,0.000478064207700511,0,0,0,0.000302446032286114,0,0.00185729763194552,0.000647165415480197,0,0,0,8.52805730854511e-05,0.00167622112709109,0,0.000174802254949089,0.000367197062423501,0,0.0984223803607064,0.026529307631786,0.0286556308001003,0.03917970858068,0.024399049309546,0.0177464113193326,0.0176101414431573,0.0476855895196507,0.0554533012412101,0.0201342281879195,0.0390448862471818,0.0318743077491078,0.012713823393435,0.0227844482561464,0.0178401773461417,0.0206993334112969,0.0164761649910165,0.0208068175529854,0.00881518003884656,0.0155011241273222,0.0170233680353872,0.0425416241930003,0.0633224340059016,0.0248837501570944,Actinomycetaceae
4,0,0.000214991210653447,0.00182977097701727,0.00144142877232457,0.00425052889001029,0.00361876649731786,0.00215845904793187,0.000390825374337429,0,0.00208834875424196,0.000310245869851858,0.00317299733284282,0.00558813048689624,0.00409524613695854,0.0048121224531586,0.00286997521385043,0.0124703350481272,0.00495930824008138,0.00222651996554582,0.0069500454756062,0.00301667710171324,0.00180497370532133,0.00334932560876256,0.000820096685082873,0,0,0.000104460461715241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000715388380586618,0.0003933910306845,0.0049849510910459,0.00334592552617377,0.00875477601612564,0.0120593374216314,0.00718144065944359,0.0103493449781659,0.00382273821322384,0.00437700612780858,0,0.0117733929523731,0.0125288950531669,0.00480274442538594,0.0080228016467856,0.00760145012279266,0.021025268550021,0.0180399535166842,0.00358583594800538,0.00343154656253698,0.0180957061793486,0.00231056744818213,0.00143552117393732,0.00942566293829333,Aerococcaceae
5,0,0,0,0,0,8.51474469957142e-05,0,0,0.000117182922542088,0,0,0,0,0,0,0.000111817216124043,0,0,0,5.14818183378237e-05,0,4.45672519832427e-05,0,0,0,0.000183870849115581,0.00445697969985027,0,0.000363901018922853,0.0359910778420476,0.0801743398161374,0,0.00289067218914488,0.0155052948097791,0.00327631397434129,0.00159374094465372,0.00605492068906703,0.000469341915585504,0.000796812749003984,0,0.00100979192166463,0.00786028408229288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Akkermansiaceae
6,0.000564652738565782,0,0,0.00611728308254816,9.70440385847097e-05,0,0.000445768716420712,0.0036639878844134,0,0.00081213562664965,0,0.000390876483031362,0,0.000738833065946128,0.000716699088768301,0.00100635494511638,0,0.000402678874194642,0,0.00120124242788255,0.00220084618741344,0.00238434798110349,0,0.00554644337016575,0,0.000110322509469349,0.00114906507886765,0,0,0.00155003591546633,0.0109878035380727,0.000503018108651912,0.000647165415480197,0.00392208131781932,0.000620775279348876,0.000434656621269197,0.00073909830007391,0.00164269670454926,0.00025353132922854,0.0007866101472709,0,0.000859323661729768,0.0029745095824391,4.91738788355625e-05,0,0.00188882892606584,0,0.000239816369180171,0,0.000829694323144105,0,0.000583600817041144,0,0.000738400951716782,9.2464170134073e-05,0.000257289879931389,0,0.000233890773009005,0,0,0.00119527864933513,0.0023665838362324,0.000268084535990349,0.00611620795107034,0.00175452587925672,0,Anaerovoracaceae
7,0.00191490928731004,0.000341456628684886,0.000462469587597772,0,0,0,0,0.00425022594591954,0.00582008515292371,0.000232038750471329,0,0.0040467212360894,0,0,0,0.000242270634935426,0,0.00239487962021024,0,0.000257409091689118,0,0.00485783046617346,0.000150870522917232,0.000129488950276243,0,0,0.000661582924196525,0,0,0,0.000622642200490789,0.000154774802662127,0,0.000496796966923781,0,0,0,0,0,0,0,0,0.00135547272111149,0.000467151848937844,0,0,0.000120340563795541,0,0,0.000174672489082969,0,0.00223713646532438,0,0.000738400951716782,0,0.000228702115494568,0,0,0.000496960893000497,0.0002213491229041,0,0.00875636019405988,0,0.0101257220523276,0,0,Atopobiaceae
8,4.9100238136155e-05,5.05861672125757e-05,0,0,0,0,7.03845341716913e-05,0,0,0,0,0,0,0,0,5.59086080620213e-05,0,0,0,0.000137284848900863,0,0,0.000211218732084125,0,0.335485726236537,0.165005699996323,0.226087259305686,0.330632294903015,0.0775109170305677,0.157763411591244,0.0721898692451379,0.0530103699117784,0.00828371731814652,0.143809648320042,0.0235204855842185,0.0647155413889694,0.14455057137984,0.0249421703711154,0.0829047446577327,0.1438622558231,0.270960832313342,0.116488904615074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407747196738022,0,0,Bacteroidaceae
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329634106142182,0,0,0,0.00444888950200028,0.0100453974693326,0,0,0.00398406374501992,0.0171306209850107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barnesiellaceae
10,0,0,0.00313675024631532,0,0,0,0,0,0.000312487793445569,0,0,0.00112664398050216,0,0,0,0,0,0,4.87559116542881e-05,0,0,0,0,0,0.168069643417338,0.0792483359688155,0.0266025975834813,0.0424888739608699,0.0352529112081514,0.0509243506861744,0.0220122330879391,0.295039467574679,0.407239623781172,0.0348280821022356,0.00827700372465168,0.0493093789239834,0.209022684632441,0.215461463676288,0.0515392973560304,0.0169995192937989,0.0807527539779682,0.085300510539352,0,0,0,0,0,0.000308335331803077,0,0,0,0,0,0,0,0,0.000316689538688905,0,0,0,0,0,0,0.000339789330615019,0.000478507057979105,0,Bifidobacteriaceae
