,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Genus
2,0.000572182003632112,0,0,0.00629773064533642,9.80834493987485e-05,0,0.0004565661420161,0.00385703265620982,0,0.000859185614777993,0,0.000406718024785875,0,0.000760390188794021,0.000741892178336748,0.00102499857639087,0,0.000411567204592224,0,0.00122501837527563,0.00226266409191098,0.00243585949416077,0,0.00570224095850899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307106204322811,0,0,0.00201787258575958,0,0,0,0.000849124061494458,0,0.000684150513112885,0,0.000752760120441619,9.77278279990227e-05,0.000284819139846198,0,0.000247066090179123,0,0,0.00126622348844571,0.000253356979984799,0.000296897421940719,0.000566091140673648,0.00179753247814364,0,[Eubacterium] brachy group
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00891734308905911,0.0146575146575147,0.015526896317665,0.00814136367841613,0.0203755649057192,0.00579528872211799,0,0,0.00808452510384433,0.0168207089486172,0.010484599177285,0.0254340985899079,0.0273078863292416,0.00985203360844672,0.0179144989821307,0.00903633293727722,0.0105001026904909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00114400114400114,0,0.000277546489036914,0,0.0278090473212424,0,0,0.00136600596582197,0,0,0.00346696189255332,0,0,0.000203573852069668,0,0.00156602998562333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] siraeum group
11,0.00276140010448541,0.00243124340734261,0,0.00651489377103768,0.00286403672244345,0.00299542570458905,0.0068484921302415,0,0,0.00724170732455737,0,0.00129192784343749,0.00193858942975899,0.00108627169827717,0.000141312795873666,0.000797221114970674,0,0.000281598613668364,0.000956504228755538,0.00362255433831507,0.0018335381434451,0.000341475630022537,0.00133478946729766,0.00572442866651875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128284870160162,0,0,0.000691842029403286,0,0.000508739416403212,0,0,0,0.000912200684150513,0,0.000460020073603212,0,0.000506345137504351,0,0,0,0.000345980855725983,0,0,0.000197931614627146,0.000283045570336824,0.00187923849987744,0.000331521018432569,[Eubacterium] yurii group
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306600615878966,0,0.00386100386100386,0,0.00814136367841613,0,0.00762976860537836,0,0.000868621064060804,0.00797301441275682,0.0184142497963809,0.00150496638908398,0,0.00837397006894232,0.00587404267975314,0.00651436326622936,0.0186042148708649,0.00243889915793797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gauvreauii group
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374882849109653,0.00278190617735605,0.00958100958100958,0.0798404887154251,0,0.00261025401277856,0,0.00201417670527172,0.00256243213897937,0.00125449527473447,0,0.000401324370422394,0,0.000235412813183118,0.000371774853148933,0.000271431802759557,0,0.00338878619839803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gnavus group
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00481992234569554,0.0385274951411913,0.0448662948662949,0.0153147802477516,0.0313164955129984,0.0017921146953405,0.000958932666249739,0.0184761978541271,0.0459066232356135,0.0537760307769507,0.0153688161762102,0.0141717668305408,0.0262207201957814,0.0143938120060535,0.0352814335638337,0.0254014928749152,0.0148521043086736,0.00616142945163278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group
15,0,0.000218683269443515,0.0019058789033866,0.00148394802562525,0.00429605508366518,0.00376272687029659,0.00221074131923585,0.000411416816662381,0,0.00220933443800055,0.000310719834282755,0.00330159337767357,0.0056679097734479,0.00421473418931543,0.00498127605454674,0.0029231440882258,0.0126580384529064,0.00506877504603054,0.00229896630420191,0.00708760631409471,0.00310141026391246,0.0018439684021217,0.00336730979250091,0.000843132904370979,0,0,0.000107250107250107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738609858497901,0.000407955124936257,0.00515463917525773,0.00357451715191698,0.0089825904432646,0.0127911624695665,0.0075642965204236,0.0105917053986414,0.00396980984120761,0.00513112884834664,0,0.0120023419203747,0.0132421206938676,0.00531662394379569,0.00829603755048576,0.0080296479308215,0.0215222070045001,0.0187982931611118,0.00379867046533713,0.00367367620977958,0.0200405759809986,0.00240588734786301,0.00147070839120843,0.00994563055297706,Abiotrophia
17,4.97549568375749e-05,0.000360184208495202,0.000586424277965108,0.000180969271417713,0.0102202954273496,0.000472185332743102,0.00163402619247867,0.000527127796348676,0,0,0,0.000334944255706015,0.0052900491218847,0,0,0.0117495207182583,0.0106680631405701,0.00077981154554316,0,0.00406006090091351,0.00072171182241988,0,0.000333697366824415,0.0010650099844686,0,7.62166075987958e-05,0,0,0.000416319733555371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136059710775929,0.00232024477307496,0,0.00138368405880657,0.0072848499814792,0.000617755005632472,0.00263105965927777,0.00156417590275295,0,0,0,0.000669120107059217,0.00175910090398241,0.00215196683439349,0,0.00123533045089561,0.0123263549207591,0.00392111636489448,0,0,0.000742243554851799,0,0.000735354195604216,0.000663042036865137,Actinobacillus
18,0.0473418414309526,0.0101366127247935,0.0275619410643601,0.0667414672988526,0.0206563744433764,0.0085436033643205,0.0296287396371501,0.0268063769606583,0.0299247942670394,0.0211114179631164,0.0155618850336613,0.0131585243313077,0.013635840904237,0.0173803471724348,0.0481170069949834,0.00890230245050586,0.00825914565721553,0.0200151630022745,0.00315478587729897,0.00976514647719716,0.0167749234400296,0.0148655724269811,0.070076447033127,0.0204126913689816,0.000160664078189851,0.000495407949392173,0,0,0,0.000311672120928783,0,0.00185924003563543,0.000651465798045603,0,0,0,8.74024006526046e-05,0.00168152009416513,0,0.000180954535173038,0.000375211056219123,0,0.10161716684808,0.027027027027027,0.028917849964339,0.0386278466416835,0.0236448944314113,0.0154075366110687,0.0167401170821548,0.048802288165892,0.0575867476965301,0.0236031927023945,0.0373242349048801,0.0315741050518568,0.012900073295871,0.0252223171619355,0.0184477677109486,0.0218653489808524,0.0168655840344355,0.0182216584015684,0.00933839822728712,0.0165948821890043,0.0180612598347271,0.0387064817435607,0.0607075741482147,0.0246651637713831,Actinomyces
