,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Phylum
1,0.105123739913174,0.0377548578840656,0.0552231013293707,0.203708897146463,0.105430514318552,0.0792435398527394,0.175030061973915,0.0560025902696998,0.0751489112391368,0.0801083701696849,0.0372295043822229,0.051673745261908,0.0540275994865212,0.0498828255775025,0.182552393934231,0.0326902956994181,0.0840099249754078,0.0651047626974054,0.024824860209525,0.0302537245131438,0.0393406470181472,0.0763100485285606,0.21404893924783,0.0627512376761308,0.169036913102583,0.0906119150811724,0.0375356571349057,0.0448562086023308,0.0596342794759825,0.0893728025405467,0.0536139793486894,0.299114043355325,0.493026259147654,0.0792736251864808,0.0192049098369134,0.0581953183385164,0.210586064992195,0.264008691644169,0.0771178470664834,0.0358382749326146,0.0927731092436975,0.106492128073589,0.153741957331527,0.0862378205438945,0.0678697651143152,0.0987090261913616,0.0516783670579907,0.107882691981692,0.11462144230173,0.146949533356377,0.20374531835206,0.0459081836327345,0.193184130213632,0.0690653760710885,0.0494917661680501,0.0684034550013932,0.138916256157635,0.0674334686513306,0.107121143030856,0.0727691801119526,0.110042267890978,0.0367706762556548,0.0422895444723729,0.0949758194519076,0.140735610957218,0.128629157600249,Actinobacteriota
2,0.0702214809546001,0.214892893573614,0.0842604120647416,0.209282759587745,0.135523417297194,0.178112489151432,0.135972620479142,0.203276211490724,0.0740162093545552,0.260031370312277,0.0584813464670752,0.194615700780929,0.202727856225931,0.208131067961165,0.151473845629579,0.148583909986968,0.0667146275931935,0.229354362164749,0.16610964714956,0.223504686361248,0.229184966452987,0.11689150082365,0.0891092092574735,0.16438877840308,0.349759489699885,0.170204951149636,0.258122869268768,0.38354154439507,0.0799672489082969,0.332501606744547,0.276157123257997,0.0516493873704053,0.0125699526474387,0.287386182416791,0.474295762507327,0.367589980955136,0.173549027955158,0.0265687759267795,0.363958619691818,0.194803234501348,0.27929717341482,0.39304035783781,0.085035933325808,0.146856367249988,0.028805554686767,0.137703872921426,0.0742729042534364,0.186099338870995,0.0515905004030508,0.100198755617007,0.0522940074906367,0.0514425694066413,0.0515768056968464,0.0969533481434465,0.155088996404634,0.183115073836723,0.0789214415348717,0.115133062697339,0.0327937376500988,0.0897267039841949,0.0664626147791867,0.226191857093145,0.189884023459893,0.262829124126814,0.127039088950446,0.112962387317376,Bacteroidota
3,0.00299232297466336,0.00374022441346481,0.00148600345395397,0.00248895744233331,0.00206876735944833,0.00251966740390268,0.00275182684303025,0.00255429373178717,0.00263646128307782,0.00490517610152574,0.000491222627265441,0.00397314700643924,0.00229460847240051,0.00431034482758621,0.00398705060487306,0.00192727739946036,0,0.00210149601548033,0.0018638729995501,0.0015762444704327,0.00342011325620947,0.00202573349361115,0.00244093539054966,0.00188296026742267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Campilobacterota
4,0.00546957396188467,0.0086138501643432,0.00289168239688341,0.00529341653228634,0.00317977205248539,0.00944875276463507,0.00508741097030802,0.00612790655841898,0.0056439800800703,0.00889776130044204,0.000620491739703715,0.00584554961866922,0.00393132220795892,0.00562855708068296,0.00674731640824672,0.00251463813072447,0.000748777730469381,0.00468155052953538,0.00260299505109583,0.0042880629141879,0.00467228586913862,0.00327233872044878,0.00433944069431051,0.00579697880082935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117018474620913,0.00930728585971206,0.000969568073061646,0.00223131275567125,0.000265471063654062,0.0123410747584336,0.00372046877906616,0.0105858969927411,9.36329588014981e-05,0.00444565414625295,0.00590030518819939,0.00634719136781974,0.00328465533312619,0.0110058512120368,0.00741508944775732,0.0020297699594046,0.00170998632010944,0.0066952036000439,0.00145751348199971,0.0124115531840854,0.00308682806367685,0.0109484148307362,0.0126192674669129,0.00571961454771526,Campylobacterota
8,0.561820902111795,0.457805986877731,0.683621832202096,0.315641870574213,0.439842926922709,0.351003667515888,0.282420682638054,0.436424468455072,0.616111707841031,0.258576928561243,0.577626102019184,0.552746951637211,0.401059050064185,0.491567626380984,0.403612199693304,0.510691800811292,0.613924329403474,0.46345269553276,0.549938942091394,0.38001050829647,0.447661053693909,0.570856150661146,0.417369816779171,0.384462404265222,0.478850779044233,0.730882244912951,0.690009044736659,0.553114781587994,0.847025109170306,0.525046312048694,0.556682792981443,0.640942507068803,0.486353852776582,0.597227223622614,0.490949212150467,0.5593404209156,0.601220377465588,0.708961611904919,0.542827172104464,0.756743935309973,0.623896103896104,0.478102650931238,0.554464386499605,0.547481700518687,0.797766865793013,0.614407905222334,0.702052976225591,0.41491778267503,0.575835555279965,0.501814725198756,0.692415730337079,0.798947559426601,0.400203458799593,0.628451285306252,0.602379155754805,0.454360546113123,0.566502463054187,0.495376635092467,0.738296093631251,0.661508067171551,0.535927707331293,0.527665004059854,0.553115491467125,0.46856528747985,0.388965835641736,0.412869132732359,Firmicutes
9,0.236908586985848,0.180714546576498,0.0717699506004257,0.170651335623642,0.136404558950292,0.199347686105434,0.250416242715752,0.197699936442456,0.186934869641637,0.23433623271068,0.218154554150831,0.134013791843632,0.0854621309370988,0.125230164044191,0.172772192877833,0.148125034415668,0.0726608036880974,0.174653045088533,0.141413329905521,0.212708259182048,0.199712187190461,0.166978317973376,0.125301350048216,0.281322726695722,0,7.34591934180563e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154193475561576,0.0532745164574143,0.00481656397585463,0.0470700738458269,0.00988142292490119,0.0402441091710459,0.0408631487567434,0.0577687521603871,0.0098314606741573,0.0338414080929051,0.0452695829094608,0.103974928594097,0.0112299702605531,0.104346614655893,0.0411718952553798,0.0313486693730266,0.00611795105639155,0.0281527823510043,0.0263809940241947,0.0781811854773228,0.0631917802178419,0.063742611499194,0.0539396737457679,0.0242461921044451,Fusobacteriota
10,0.00259988717470751,0.0105784124825267,0.00767099080284349,0.0218397251630092,0.0068192701848482,0.0319717797250763,0.0510128572749977,0.0510139226996366,0.0075187969924812,0.0391273349493797,0.000879029964580263,0.00938484723934786,0.00996469833119384,0.0321392701707399,0.00276026580337366,0.0101870376828619,0.0119217160223752,0.0264871725515491,0.00816247830837457,0.0280673208928662,0.0232492944848338,0.00478607363875161,0.0038572806171649,0.0314814031227521,0,0,0,0,0,0,0,0.000377002827521206,0.00012914334911752,0,0,0,0,0,0,0,0,0,0.0022952176694134,0.00484754471860003,0,0.00382510758115072,0.000353961418205416,0.00230547550432277,0.00285235939728406,0.0050120981679917,0,0.0440029032843404,0,0.000872738813075214,0.00417240001775489,0.0114795207578713,0.00103707544723879,0.015787099684258,0.000151998784009728,0.0032927230819888,0.0160326483019968,0.0196032942814059,0.00220487718834061,0.0214938205265986,0.00961834410587873,0.0046005595275101,Patescibacteria
11,0.0140050526109244,0.0854836475373708,0.0927145668500743,0.0518123816868821,0.170481754621205,0.146462666927966,0.095018962168162,0.0449100001199199,0.0318718875109853,0.111079423926993,0.106517748649138,0.0465588893455725,0.240532734274711,0.0826916638767995,0.0756517294257966,0.144252124593895,0.150019820586983,0.0333534466615343,0.104923195578122,0.119370858121049,0.0520866428691573,0.0577222741641067,0.143533027965284,0.0616299242584522,0.00235281815329917,0.00804378167927716,0.0089751617616364,0.0154271820239792,0.013009461426492,0.0141393520093758,0.00570438298794137,0.00791705937794534,0.00111924235901851,0.0124234785740007,0.00951625693893735,0.0127287191726333,0.00797502483326238,0,0.0146133256167257,0.00769811320754717,0.00302521008403361,0.0145055722625155,0.0385671821499793,0.151267632943914,0.0997716823569887,0.0900494076395899,0.161494897056221,0.234039667740295,0.210423513362684,0.175812305565157,0.0416198501872659,0.0185991653057521,0.303662258392675,0.0934227229450968,0.174353056061077,0.166954583449429,0.16603577910293,0.272891294542174,0.113809089527284,0.136538250466469,0.243696254190351,0.0991764296485327,0.145918772324382,0.0750940354648039,0.26061865189289,0.310972956170345,Proteobacteria
12,0.000858453312403424,0.000415580490384979,0.000361460299610426,0.0182640398233191,0.000249018293266928,0.00180576163946359,0.00228933493663861,0.00199067023228483,0,0.00293740196777413,0,0.00118737726629219,0,0.000418480080348175,0.000443005622763674,0.000917751142600173,0,0.0008114687584528,0.000160678706857767,0.000169488652734699,0.000672809165155961,0.00111304038110503,0,0.00628358651038802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000727131707790004,0,0.00600329384263932,0,0.00216985929818613,9.30117194766541e-05,0.00185793294158313,0,0.00281255670477227,0.000203458799593082,0.000912408759124088,0,0.000334354973530231,0,0,0,0.00131708923279552,0,0,0.000308682806367685,0.00235088662009672,0.00646352723915051,0,Spirochaetota
14,0,0,0,0,0,8.39889134634228e-05,0,0,0.000117176057025681,0,0,0,0,0,0,0.000110130137112021,0,0,0,5.08465958204098e-05,0,4.45216152442011e-05,0,0,0,0.000183647983545141,0.00535726709803103,0,0.000363901018922853,0.0359910778420476,0.105675500036104,0,0.00288420146362462,0.0155872215648953,0.00327552322173568,0.00159108989657916,0.00604512558535547,0.000460920524132482,0.000795775157346452,0,0.00100840336134454,0.00785929089484724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verrucomicrobiota
