,AZ-10_S135,AZ-11_S136,AZ-12_S137,AZ-13_S138,AZ-14_S139,Az-15_S140,AZ-16_S141,AZ-17_S142,AZ-18_S143,AZ-19_S144,AZ-2_S145,AZ-20_S146,AZ-21_S147,AZ-22_S148,AZ-23_S149,AZ-24_S150,AZ-25_S151,AZ-3_S152,AZ-4_S153,AZ-5_S154,AZ-6_S155,AZ-7_S156,AZ-9_S157,ML-8_S158,AZ-10-RS_S292,AZ-11-RS_S293,AZ-12-RS_S294,AZ-13-RS_S295,AZ-14-RS_S296,AZ-15-RS_S297,AZ-16-RS_S298,AZ-17-RS_S299,AZ-18-RS_S300,AZ-19-RS_S301,AZ-2-RS_S302,AZ-23-RS_S303,AZ-24-RS_S304,AZ-25-RS_S305,AZ-6-RS_S306,AZ-7-RS_S307,AZ-8-RS_S308,AZ-9-RS_S309,AZ-10-SAL_S310,AZ-11-SAL_S311,AZ-12-SAL_S312,AZ-13-SAL_S313,AZ-14-SAL_S314,AZ-15-SAL_S315,AZ-16-SAL_S316,AZ-17-SAL_S317,AZ-18-SAL_S318,AZ-19-SAL_S319,AZ-2-SAL_S320,AZ-20-SAL_S321,AZ-21-SAL_S322,AZ-22-SAL_S323,AZ-23-SAL_S324,AZ-24-SAL_S325,AZ-25-SAL_S326,AZ-3-SAL_S327,AZ-4-SAL_S328,AZ-5-SAL_S329,AZ-6-SAL_S330,AZ-7-SAL_S331,AZ-8-SAL_S332,AZ-9-SAL_S333,Species
2,0.00066556703417542,0,0,0.00515828445442822,0.000112815884476534,0,0.000505547721044089,0.002975463209188,0,0.000575607774090878,0,0.000456081987444331,0,0.000456447318372005,0.000470957613814757,0.000743120669682862,0,0.000473532050643007,0,0.000768791026828836,0.00155197991555403,0.00170210466592819,0,0.00485756211101553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00307106204322811,0,0,0.00201787258575958,0,0,0,0.000849124061494458,0,0.000684150513112885,0,0.000752760120441619,9.77278279990227e-05,0.000284819139846198,0,0.000247066090179123,0,0,0.00126622348844571,0.000253356979984799,0.000296897421940719,0.000566091140673648,0.00179753247814364,0,[Eubacterium] brachy group brachy
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312488091155063,0.00775775775775776,0.00424232139826913,0.00333055786844296,0.00564905719183419,0.00200125078173859,0,0,0,0,0.00313534664392495,0.0115371168861438,0.0115015974440895,0.00360621607554465,0.00622031214657317,0.00121943593271215,0.00156602998562333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group hallii
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579246217750848,0.0068997568997569,0.0112845749193959,0.00481080580997317,0.014726507713885,0.0037940379403794,0,0,0.00808452510384433,0.0168207089486172,0.00734925253336009,0.0138969817037641,0.0158062888851522,0.00624581753290207,0.0116941868355576,0.00781689700456507,0.00893407270486753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] hallii group NA
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000536250536250536,0,0.000277546489036914,0,0.0278090473212424,0,0,0.00136600596582197,0,0,0.00346696189255332,0,0,0.000203573852069668,0,0.00156602998562333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Eubacterium] siraeum group siraeum
14,0.0019677634053882,0.00180276029198806,0,0.00424310495444902,0.00187274368231047,0.00225630237844807,0.0045499294893968,0,0,0.00609467054919753,0,0.000858507270483447,0.00124711488347852,0.000735387346266007,0.000156985871271586,0.000917972591961183,0,0.000323995613597847,0.000638022131392683,0.00264148711782215,0.00123245463882232,0.000405263015697187,0.000801645115192918,0.00490816171633861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00128284870160162,0,0,0.000691842029403286,0,0.000508739416403212,0,0,0,0,0,0.000460020073603212,0,0.000506345137504351,0,0,0,0.000345980855725983,0,0,0.000197931614627146,0.000283045570336824,0.00187923849987744,0,[Eubacterium] yurii group NA
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306600615878966,0,0.00386100386100386,0,0.00814136367841613,0,0.00762976860537836,0,0.000868621064060804,0.00797301441275682,0.0184142497963809,0.00150496638908398,0,0.00837397006894232,0.00587404267975314,0.00651436326622936,0.0186042148708649,0.00243889915793797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gauvreauii group NA
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374882849109653,0.00278190617735605,0.00958100958100958,0.0798404887154251,0,0.00261025401277856,0,0.00201417670527172,0.00256243213897937,0.00125449527473447,0,0.000401324370422394,0,0.000235412813183118,0.000371774853148933,0.000271431802759557,0,0.00338878619839803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] gnavus group NA
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115472615472615,0.0103936874257594,0.00143399019335739,0,0,0.00213037920749893,0.000434310532030402,0.0144685121686042,0.00602004320266298,0,0.0111583731499825,0,0.00215629414826381,0.000497624971725854,0.00615971483959727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group lactaris
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385274951411913,0.0333190333190333,0.00305447140675378,0.029882505319641,0,0.000958932666249739,0.0156486036332649,0.044299674267101,0.0378300019514371,0.00867594461560254,0.0141717668305408,0.014596200908985,0.0138557255759206,0.0331251394155699,0.019972856819724,0.00869238946907636,0.000410761963442185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[Ruminococcus] torques group NA
21,0,0.000147767237048202,0.00211903874813711,0.00103997670452182,0.00309115523465704,0.00254470193058053,0.00244791528084506,0.000459974988859981,0,0.00142208979481276,0.000333361113426119,0.0020926114718034,0.00465341374432284,0.00286547483200203,0.00313971742543171,0.00336589950385767,0.0123874067084155,0.00366364270760642,0.00157511713687569,0.00699796960318556,0.00196279812849481,0.00218842028476481,0.00233522707469241,0.000556595658553863,0,0,0.000107250107250107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738609858497901,0.000407955124936257,0.00515463917525773,0.00357451715191698,0.0089825904432646,0.0127911624695665,0.0075642965204236,0.0105917053986414,0.00396980984120761,0.00513112884834664,0,0.0120023419203747,0.0132421206938676,0.00531662394379569,0.00829603755048576,0.0080296479308215,0.0215222070045001,0.0187982931611118,0.00379867046533713,0.00367367620977958,0.0200405759809986,0.00240588734786301,0.00147070839120843,0.00994563055297706,Abiotrophia NA
24,5.78753942761235e-05,0.000413748263734965,0.000652011922503726,0.000207995340904364,0.0107626353790614,0.000542869745190513,0.001809328685842,0.00058934295447685,0,0,0,0.000375596930836508,0.00470925470925471,0,0,0.0121084956177737,0.0120271081753453,0.00089721862227096,0,0.00311458928817836,0.000844459659933813,0,0.000383395489874874,0.00121439052775388,0,7.62166075987958e-05,0,0,0.000416319733555371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136059710775929,0.00232024477307496,0,0.00138368405880657,0.0072848499814792,0.000617755005632472,0.00263105965927777,0.00156417590275295,0,0,0,0.000669120107059217,0.00175910090398241,0.00215196683439349,0,0.00123533045089561,0.0123263549207591,0.00392111636489448,0,0,0.000742243554851799,0,0.000735354195604216,0.000663042036865137,Actinobacillus NA
26,0.0033278351708771,0.0015367792653013,0,0.00128957111360706,0,0,0.00284703190272198,0.00159553824260806,0,0,0,0.00246820840263991,0,0,0.00792778649921507,0.000852403121106813,0,0.00169474628651181,0.00165486990329977,0.00153758205365767,0,0.00337719179747656,0.0279181624899794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136059710775929,0.00385007649158593,0,0,0.000432152117545376,0,0.00325593632835625,0.000268144440471934,0,0.000912200684150513,0.000827129859387924,0.00138006022080964,0,0,0.00158279663792162,0,0,0,0.00142450142450142,0,0,0.00198131899235777,0,0.00716085399814348,Actinomyces gerencseriae
30,0.000781317822727667,0.000975263764518131,0.000675298062593145,0.00990057822704771,0.00243682310469314,0.00184915006955519,0.0105366788175505,0.00748896778737656,0,0.00416469154195165,0,0.000804850566078231,0.00340629886084432,0.00375301128439204,0.0139717425431711,0.00100539855310034,0.000514712190100369,0.00510916159904297,0,0.00120246801632202,0.00755449047129978,0.00140491178775025,0.00620403610888432,0.00442746546576937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206033276317835,0.00104538500764916,0,0.00126837705390602,0.00234596863810347,0.000872124713834078,0.00131552982963889,0.00446907400786557,0,0.00695553021664766,0,0.0040983606557377,0.00224774004397752,0.00433558023988101,0.00436633555288724,0,0,0.0013262599469496,0,0,0.00212776485724182,0.000495329748089442,0.00498406732576191,0.0014586924811033,Actinomyces massiliensis
