	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16
PWY-0001: Pathway description 1	499	514	500	497	505	498	501	501	57	53	54	63	45	46	46	50
PWY-0002: Pathway description 2	488	510	498	496	491	495	503	499	64	51	54	45	53	52	45	53
PWY-0003: Pathway description 3	500	488	503	492	496	495	495	498	40	52	60	44	56	54	60	45
PWY-0004: Pathway description 4	50	48	51	52	42	61	45	54	507	507	502	500	504	496	510	501
PWY-0005: Pathway description 5	58	44	51	48	39	56	64	57	505	514	508	494	489	497	494	498
PWY-0006: Pathway description 6	42	55	59	51	54	48	49	42	496	496	504	491	501	496	495	508
PWY-0007: Pathway description 7	49	47	60	74	51	57	68	42	36	47	50	48	55	41	38	35
PWY-0008: Pathway description 8	45	71	63	57	48	53	43	64	53	37	50	54	47	35	44	51
PWY-0009: Pathway description 9	41	40	47	49	51	59	50	52	49	54	40	45	41	69	39	40
PWY-0010: Pathway description 10	43	47	42	50	62	45	51	44	53	48	59	42	45	40	55	54
PWY-0011: Pathway description 11	42	44	44	49	50	58	46	53	53	49	57	47	33	56	41	48
PWY-0012: Pathway description 12	54	51	52	53	41	62	56	57	62	41	44	57	54	41	59	47
