"Sample","RawReads","FilteredReads"
"Sample01",31359941,33606325
"Sample02",35656276,33226170
"Sample03",36121218,30752905
"Sample04",34499650,34991019
"Sample05",36365599,31692169
"Sample06",35281610,30422538
"Sample07",34000302,30474682
"Sample08",38315135,30978872
"Sample09",37675049,32978439
"Sample10",32933929,32140076
"Sample11",33383600,31838836
"Sample12",35333216,33332891
"Sample13",37067703,30869593
"Sample14",33372275,31869887
"Sample15",36070745,28224684
"Sample16",35951659,30047783
